name,query,region,morphology,lat,lon
Manhattan,"Manhattan, New York, USA",North America,planned grid,40.758,-73.9855
Chicago,"Chicago, Illinois, USA",North America,planned grid,41.8781,-87.6298
San Francisco,"San Francisco, California, USA",North America,planned grid,37.7749,-122.4194
Boston,"Boston, Massachusetts, USA",North America,organic,42.3601,-71.0589
Washington DC,"Washington, D.C., USA",North America,planned radial,38.9072,-77.0369
Philadelphia,"Philadelphia, Pennsylvania, USA",North America,planned grid,39.9526,-75.1652
Seattle,"Seattle, Washington, USA",North America,planned grid,47.6062,-122.3321
Portland,"Portland, Oregon, USA",North America,planned grid,45.5152,-122.6784
Vancouver,"Vancouver, British Columbia, Canada",North America,planned grid,49.2827,-123.1207
Toronto,"Old Toronto, Ontario, Canada",North America,planned grid,43.6532,-79.3832
Montreal,"Montreal, Quebec, Canada",North America,mixed,45.5017,-73.5673
Mexico City,"Cuauhtémoc, Mexico City, Mexico",North America,planned grid,19.4326,-99.1332
Savannah,"Savannah, Georgia, USA",North America,planned grid,32.0809,-81.0912
New Orleans,"New Orleans, Louisiana, USA",North America,mixed,29.9511,-90.0715
Salt Lake City,"Salt Lake City, Utah, USA",North America,planned grid,40.7608,-111.891
London,"City of London, England, UK",Europe,organic,51.5074,-0.1278
Rome,"Rome, Italy",Europe,organic,41.9028,12.4964
Paris,"Paris, France",Europe,planned radial,48.8566,2.3522
Barcelona,"Eixample, Barcelona, Spain",Europe,planned grid,41.3874,2.1686
Amsterdam,"Amsterdam, Netherlands",Europe,organic,52.3676,4.9041
Venice,"Venice, Italy",Europe,organic,45.4408,12.3155
Milton Keynes,"Milton Keynes, England, UK",Europe,planned modern,52.0406,-0.7594
Vienna,"Vienna, Austria",Europe,planned radial,48.2082,16.3738
Prague,"Prague, Czech Republic",Europe,organic,50.0755,14.4378
Berlin,"Mitte, Berlin, Germany",Europe,mixed,52.52,13.405
Madrid,"Centro, Madrid, Spain",Europe,organic,40.4168,-3.7038
Lisbon,"Lisbon, Portugal",Europe,organic,38.7223,-9.1393
Athens,"Athens Municipality, Greece",Europe,organic,37.9838,23.7275
Edinburgh,"Edinburgh, Scotland, UK",Europe,organic,55.9533,-3.1883
Dublin,"Dublin, Ireland",Europe,organic,53.3498,-6.2603
Copenhagen,"Copenhagen, Denmark",Europe,organic,55.6761,12.5683
Stockholm,"Stockholm, Sweden",Europe,mixed,59.3293,18.0686
Warsaw,"Warsaw, Poland",Europe,mixed,52.2297,21.0122
Budapest,"Budapest, Hungary",Europe,planned radial,47.4979,19.0402
Munich,"Munich, Germany",Europe,organic,48.1351,11.582
Florence,"Florence, Italy",Europe,organic,43.7696,11.2558
Turin,"Turin, Italy",Europe,planned grid,45.0703,7.6869
Brussels,"Brussels, Belgium",Europe,organic,50.8476,4.3572
Zurich,"Zurich, Switzerland",Europe,organic,47.3769,8.5417
Helsinki,"Helsinki, Finland",Europe,mixed,60.1699,24.9384
Tokyo,"Chiyoda, Tokyo, Japan",Asia,organic,35.6895,139.6917
Kyoto,"Nakagyo Ward, Kyoto, Japan",Asia,planned grid,35.0116,135.7681
Beijing,"Dongcheng, Beijing, China",Asia,planned grid,39.9042,116.4074
Shanghai,"Huangpu, Shanghai, China",Asia,mixed,31.2304,121.4737
Singapore,Singapore,Asia,mixed,1.3521,103.8198
Hong Kong,"Central and Western District, Hong Kong",Asia,organic,22.3193,114.1694
Seoul,"Jung-gu, Seoul, South Korea",Asia,mixed,37.5665,126.978
Mumbai,"Mumbai, Maharashtra, India",Asia,organic,19.076,72.8777
Delhi,"New Delhi, Delhi, India",Asia,organic,28.6139,77.209
Bangkok,"Phra Nakhon, Bangkok, Thailand",Asia,organic,13.7563,100.5018
Jaipur,"Jaipur, Rajasthan, India",Asia,planned grid,26.9124,75.7873
Kuala Lumpur,"Kuala Lumpur, Malaysia",Asia,mixed,3.139,101.6869
Jakarta,"Central Jakarta, Indonesia",Asia,mixed,-6.2088,106.8456
Manila,"Manila, Philippines",Asia,mixed,14.5995,120.9842
